"6016","16128994","xtrackers-msci-thailand","Xtrackers MSCI Thailand UCITS ETF 1C (XCS4)"
"2011","16623470","crispr-therapeutics","crispr-therapeutics"
"2012","17112676","cloudflare","cloudflare"
"2013","16368317","invitae-corporation","invitae-corporation"
"2014","16117897","luna-innovations-incorporated","luna-innovations-incorporated"
"2015","16119127","novavax","novavax"
"2016","16422567","pay-pal-holdings","pay-pal-holdings"
"2017","16117984","plug-power","plug-power"
"2018","16122899","sea-limited-american","sea-limited-american"
"2019","16475415","square-class-a","square-class-a"
"2020","16421115","teladoc-health","teladoc-health"
"2021","16119517","tesla","tesla"
"2022","16123155","thermo-fisher-scientific","thermo-fisher-scientific"
"2023","16860437","docu-sign","docu-sign"
"2024","16122012","mastercard-incorporated","mastercard-incorporated"
"2025","16156313","nordic-nanovector","nordic-nanovector"
"2026","16100064","chemo-metec","chemo-metec"
"2027","16119128","nvidia-corporation","nvidia-corporation"
"2028","16118309","baidu-american-depositary","baidu-american-depositary"
"2029","16759962","roku-class-a","roku-class-a"
"2030","16548477","intellia-therapeutics","intellia-therapeutics"
"2031","16117796","exact-sciences-corporation","exact-sciences-corporation"
"2032","16123359","workday-class-a","workday-class-a"
"2033","16120681","boston-scientific-corporation","boston-scientific-corporation"
"2034","16117796","exact-sciences-corporation","exact-sciences-corporation"
"2035","17037569","zoom-video-communications","zoom-video-communications"
"2036","16358714","medtronic-ordinary-shares","medtronic-ordinary-shares"
"2037","16123191","taiwan-semiconductor-manufacturing","taiwan-semiconductor-manufacturing"
"2038","17037031","pinterest-class-a","pinterest-class-a"
"2039","16120387","advanced-micro-devices","advanced-micro-devices"
"2040","16118857","intuit","intuit"
"2041","17086426","castle-biosciences-common","castle-biosciences-common"
"2042","16214353","nano-string-technologies","nano-string-technologies"
"2043","16119509","trimble","trimble"
"2044","16420087","seres-therapeutics","seres-therapeutics"
"2045","16458028","pure-storage-class","pure-storage-class"
"2046","16947874","twist-bioscience-corporation","twist-bioscience-corporation"
"2047","16372722","zillow-group-class","zillow-group-class"
"2048","17073085","adaptive-biotechnologies-corporation","adaptive-biotechnologies-corporation"
"2049","16724074","iovance-biotherapeutics","iovance-biotherapeutics"
"2050","16099722","alk-abell-b","ALK-Abelló B A/S (ALK B)"
